name,active_status,address,geo,region,coordinators
Eastvale-Corona,TRUE,"13820, Schleisman Road, Eastvale, CA, 92880, United States","{
  ""geo"": {
    ""lat"": ""33.9607571"",
    ""long"": ""-117.58475229999999""
  }
}","LA,USA-West","dileep.madireddy@manabadi.siliconandhra.org,bhaskara.undi@manabadi.siliconandhra.org"
Simi Valley - Shepherd of the valley Lutheran Church,TRUE,"4191, Cochran Street, Simi Valley, CA, 93063, United States","{
  ""geo"": {
    ""lat"": ""34.279328600000007"",
    ""long"": ""-118.71327580000002""
  }
}","LA,USA-West","dileep.madireddy@manabadi.siliconandhra.org,sudha.davuluri@manabadi.siliconandhra.org"
Ventura,TRUE,"6085, King Drive, Ventura, CA, 93003, United States","{
  ""geo"": {
    ""lat"": ""34.24606"",
    ""long"": ""-119.20565999999997""
  }
}","LA,USA-West","aravind.atluri1@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Santa Clarita - Valencia,TRUE,"28622 High Ridge Dr, Santa Clarita, CA 91390, USA","{
  ""geo"": {
    ""lat"": ""34.4629756"",
    ""long"": ""-118.5027728""
  }
}","LA,USA-West","narendra.kavarthapu@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Burbank,TRUE,"1515 N Glenoaks Blvd, Burbank, CA 91504, USA","{
  ""geo"": {
    ""lat"": ""34.1927014"",
    ""long"": ""-118.3208416""
  }
}","LA,USA-West","dileep.madireddy@manabadi.siliconandhra.org,bhavana.parvathareddy@manabadi.siliconandhra.org"
Irvine - Lyceum Village,TRUE,"14281 Chambers Rd, Tustin, CA 92780, USA","{
  ""geo"": {
    ""lat"": ""33.7209768"",
    ""long"": ""-117.8065052""
  }
}","LA,USA-West","dileep.madireddy@manabadi.siliconandhra.org,aravinda.thutupalli@manabadi.siliconandhra.org"
Woodland Hills (First United Methodist Church),TRUE,"22700, Sherman Way, Los Angeles, CA, 91307, United States","{
  ""geo"": {
    ""lat"": ""34.2000526"",
    ""long"": ""-118.6224267""
  }
}","LA,USA-West","sreedhar.bandlamudi@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
"Lake Forest - Aloha Mind Math,",TRUE,"22706 Aspan St, Lake Forest, CA 92630, USA","{
  ""geo"": {
    ""lat"": ""33.632807599999992"",
    ""long"": ""-117.71517979999999""
  }
}","LA,USA-West","krishna.keerthipati@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Arcadia Presbyterian Church,TRUE,"121, Alice Street, Arcadia, CA, 91006, United States","{
  ""geo"": {
    ""lat"": ""34.1317405"",
    ""long"": ""-118.02697639999997""
  }
}","LA,USA-West","dileep.madireddy@manabadi.siliconandhra.org,shashanka.pasupunuri@manabadi.siliconandhra.org"
Cerritos/Artesia (New Life Community Church),TRUE,"18800, Norwalk Boulevard, Artesia, CA, 90701, United States","{
  ""geo"": {
    ""lat"": ""33.8609569"",
    ""long"": ""-118.07149809999999""
  }
}","LA,USA-West","chandrasekhar.vempati@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org,mohan.katragadda@manabadi.siliconandhra.org"
Reading,TRUE,,"{
  ""geo"": null
}",UK,
Manchester,TRUE,,"{
  ""geo"": null
}",UK,
Plano - QD Academy,TRUE,"4100 Legacy Dr, Plano, TX, United States","{
  ""geo"": {
    ""lat"": ""33.0699417"",
    ""long"": ""-96.773337700000013""
  }
}","DFW,USA-South West","srineela.kandala@manabadi.siliconandhra.org,vishnu.likki@manabadi.siliconandhra.org"
Keller - Children's LightHouse,TRUE,"1655 N Tarrant Pkwy, Keller, TX 76248, USA","{
  ""geo"": {
    ""lat"": ""32.9006292"",
    ""long"": ""-97.2157464""
  }
}","DFW,USA-South West",gautam.kasturi@manabadi.siliconandhra.org
Central Plano,TRUE,"3929 Alma Drive, Plano, TX 75023, United States","{
  ""geo"": {
    ""lat"": ""33.0493801"",
    ""long"": ""-96.710647399999971""
  }
}","DFW,USA-South West","ramarao.paluri@manabadi.siliconandhra.org,rajyalakshmi.jeedigunta@manabadi.siliconandhra.org,deepak.mavuleti@manabadi.siliconandhra.org"
Flower Mound - Kids R Kids,TRUE,"1230 Flower Mound Rd, Flower Mound, TX 75028, USA","{
  ""geo"": {
    ""lat"": ""33.01306"",
    ""long"": ""-97.046567499999981""
  }
}","DFW,USA-South West",mythili.kasturi@manabadi.siliconandhra.org
Irving Saturday - Excel Academy,TRUE,"504 Ranch Trail, Irving, TX 75063, USA","{
  ""geo"": {
    ""lat"": ""32.9267455"",
    ""long"": ""-96.952996699999971""
  }
}","DFW,USA-South West",janardhana.paligaram@manabadi.siliconandhra.org
Flower Mound,TRUE,"3325 Long Prairie Road, Flower Mound, TX, United States","{
  ""geo"": {
    ""lat"": ""33.0315998"",
    ""long"": ""-97.0714074""
  }
}","DFW,USA-South West","ramarao.paluri@manabadi.siliconandhra.org,srinivas.pindi@manabadi.siliconandhra.org,bala.ganapavarapu@manabadi.siliconandhra.org"
